Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | without address information | with class weights,7,100,all/Connection.csv,744.6315014362335,68448,44536,6974434,48,0.7141913328788342,0.6058202931388516,0.9992992291520673,"=""{0: 9793594, 1: 76853, 2: 1766, 3: 6, 4: 67483, 5: 22914}""","=""{0: 6990029, 1: 114379, 2: 761067, 4: 1476874, 5: 620267}""",29887846,9962616,0.25,1.71%,1.70%,0.7543310557637205
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | without address information | with tweaked class weights,9,100,all/Connection.csv,880.3178210258484,76573,24875,8437212,7,0.8627265168104442,0.7548004889204322,0.999908592321755,"=""{0: 9792526, 1: 77172, 2: 1762, 3: 6, 4: 68063, 5: 23087}""","=""{0: 8440771, 1: 101523, 2: 778583, 4: 517632, 5: 124107}""",29887846,9962616,0.25,1.70%,1.71%,0.8602354685779764
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | with address information,6,100,all/Connection.csv,700.8458120822906,76986,8667,9765814,11,0.9960608739712541,0.8988126510454976,0.9998571372910633,"=""{0: 9792926, 1: 77039, 2: 1762, 3: 3, 4: 68071, 5: 22815}""","=""{0: 9772492, 1: 86582, 4: 74921, 5: 28621}""",29887846,9962616,0.25,1.71%,1.70%,0.9466461727636029
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | with address information | with class weights,12,100,all/Connection.csv,1218.506903886795,77115,21834,9163360,9,0.9355686297655154,0.7793408725707183,0.9998833048078419,"=""{0: 9793194, 1: 77149, 2: 1710, 3: 1, 4: 67879, 5: 22683}""","=""{0: 9175119, 1: 98997, 2: 98164, 4: 547494, 5: 42842}""",29887846,9962616,0.25,1.71%,1.70%,0.8759435007070931
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | with address information | with tweaked class weights,9,100,all/Connection.csv,954.4457066059113,76836,33470,8432170,9,0.8627082485162532,0.6965713560459087,0.9998828811243412,"=""{0: 9792865, 1: 76852, 2: 1647, 3: 3, 4: 68310, 5: 22939}""","=""{0: 8438588, 1: 110370, 2: 262229, 4: 1059888, 5: 91541}""",29887846,9962616,0.25,1.70%,1.70%,0.8211123638131776
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | without address information,5,100,all/Connection.csv,572.7517273426056,77067,9401,9765930,11,0.9883008639497899,0.8912776981079705,0.9998572874231298,"=""{0: 9792686, 1: 77167, 2: 1692, 3: 7, 4: 68273, 5: 22791}""","=""{0: 9832839, 1: 86596, 4: 41965, 5: 1216}""",29887846,9962616,0.25,1.70%,1.71%,0.9424504420774583
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | without address information | with class weights,21,100,all/Connection.csv,1921.3486335277557,77184,11078,9341003,11,0.9542787757753586,0.8744873218372573,0.9998575037243345,"=""{0: 9792926, 1: 77259, 2: 1721, 3: 2, 4: 67983, 5: 22725}""","=""{0: 9344428, 1: 88282, 2: 7545, 4: 463113, 5: 59248}""",29887846,9962616,0.25,1.71%,1.70%,0.9329795656877617
MULTICLASS | BATCH_SIZE: 1024 | 4 - 8 - 4 | without address information | with tweaked class weights,7,100,all/Connection.csv,765.9200780391693,77209,12110,9110424,43,0.931153725085861,0.864418544766511,0.9994433801066639,"=""{0: 9792207, 1: 77309, 2: 1710, 3: 5, 4: 68338, 5: 23047}""","=""{0: 9113687, 1: 89339, 2: 215996, 4: 412730, 5: 130864}""",29887846,9962616,0.25,1.70%,1.71%,0.9270401210294709
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | with address information,5,100,all/Connection.csv,651.7718012332916,77411,8408,9768160,3,0.9970185541628825,0.9020263577995549,0.9999612473196062,"=""{0: 9792261, 1: 77440, 2: 1681, 3: 7, 4: 68440, 5: 22787}""","=""{0: 9772839, 1: 85927, 4: 69301, 5: 34549}""",29887846,9962616,0.25,1.70%,1.71%,0.9484724289818848
MULTICLASS | BATCH_SIZE: 1024 | 8 - 16 - 8 | with address information | with class weights,8,100,all/Connection.csv,953.8902037143707,76862,9168,9648266,6,0.9850954809459684,0.8934325235383006,0.9999219441119842,"=""{0: 9792767, 1: 76908, 2: 1731, 3: 3, 4: 68344, 5: 22863}""","=""{0: 9651655, 1: 86046, 2: 70866, 4: 104227, 5: 49822}""",29887846,9962616,0.25,1.70%,1.70%,0.9436825498164496
